,Age,Gender,Marital,Income,Ratio,Education,Profession,Optimism,Objective,Score
409,B,A,A,A,B,B,B,B,A,26
410,B,A,A,A,A,B,C,B,A,35
411,B,A,A,A,A,B,B,A,A,26
412,B,A,A,A,A,B,B,B,A,31
413,B,B,A,B,C,B,C,B,A,33
414,B,B,A,A,A,B,B,A,C,28
415,B,A,A,A,A,B,C,A,A,34
416,B,B,A,A,A,B,B,B,C,31
417,B,A,A,B,A,B,B,A,A,29
418,B,B,A,B,A,B,B,A,C,26
419,B,A,A,A,B,B,C,A,A,35
420,B,A,A,A,A,B,B,A,C,28
421,B,A,A,B,B,B,B,A,A,21
422,B,A,A,B,B,B,B,A,B,27
423,B,A,A,B,A,A,B,A,A,24
424,B,A,A,B,A,B,B,A,A,26
425,B,B,A,B,B,B,B,B,A,31
426,B,A,A,A,A,B,B,A,A,28
427,C,A,A,C,A,C,B,B,B,22
428,B,B,A,B,A,B,B,A,A,25
429,B,A,A,A,A,B,B,A,C,31
430,B,B,A,A,A,B,B,A,C,24
431,A,A,A,A,A,B,B,A,A,26
432,B,B,A,C,B,B,B,A,A,25
433,B,A,A,A,C,B,B,A,A,26
434,B,B,A,A,A,B,B,A,C,23
435,C,A,B,C,A,B,B,A,A,25
436,C,A,A,C,C,A,B,B,B,25
437,B,A,A,B,A,B,B,A,A,30
438,C,B,A,C,C,B,B,A,A,26
439,B,A,A,B,B,C,B,A,C,32
440,B,A,A,B,C,B,B,B,A,31
441,B,A,A,A,A,B,B,A,A,26
442,C,A,B,C,A,C,B,A,A,23
443,B,A,A,A,A,B,B,A,C,25
444,B,A,A,B,A,B,B,B,A,27
445,A,B,A,A,A,A,B,A,C,25
446,B,B,A,A,A,B,B,A,A,27
447,B,A,A,A,A,B,B,A,A,21
448,B,A,A,A,A,B,B,A,C,30
449,C,A,A,B,A,B,B,A,A,28
450,B,B,A,A,A,B,B,A,A,26
451,A,A,A,A,A,A,C,B,C,35
452,B,B,A,A,A,B,B,B,A,24
453,B,A,B,A,A,B,B,A,A,30
454,B,B,A,A,A,B,B,A,C,21
455,C,B,B,B,B,A,B,A,A,26
456,B,B,A,A,A,B,B,B,C,28
457,B,B,A,A,A,B,B,B,C,29
458,B,B,A,A,A,B,B,A,A,28
459,B,B,A,A,A,B,B,A,C,28
460,B,A,A,B,B,B,B,B,A,32
461,B,B,A,B,A,B,B,A,A,20
462,B,A,A,A,B,B,C,B,A,35
463,B,B,A,A,A,B,C,B,A,34
464,B,B,A,B,A,B,B,A,A,21
465,B,A,A,B,A,B,B,A,C,30
466,A,B,A,A,A,A,B,A,A,28
467,B,A,A,B,A,B,B,A,A,22
468,B,A,A,A,A,A,A,A,C,23
469,B,A,A,B,A,B,B,B,C,32
470,B,B,A,A,A,B,A,A,C,21
471,B,B,A,A,A,B,A,A,A,23
472,B,A,A,B,A,B,A,B,A,27
473,C,A,B,C,C,B,B,B,C,30
474,B,A,A,A,A,B,A,A,A,21
475,B,A,A,A,A,B,A,A,C,20
476,A,B,A,A,A,A,A,A,C,28
477,C,A,A,C,A,B,B,A,A,21
478,B,B,A,B,A,B,B,A,A,20
479,B,B,A,C,A,B,B,A,A,27
480,B,A,A,A,A,A,A,A,B,22
481,B,A,A,A,A,B,A,A,C,30
482,B,A,A,C,B,C,C,B,A,32
483,C,A,B,C,C,B,B,A,A,32
484,B,A,A,C,A,B,A,B,A,25
485,B,A,A,B,A,B,B,B,A,35
486,C,B,B,C,C,C,B,A,A,23
487,C,A,B,C,A,B,B,A,A,24
488,B,A,A,A,B,B,B,A,B,28
489,C,A,A,C,A,C,B,A,A,26
490,C,A,B,C,B,B,B,A,A,27
491,B,B,A,B,A,B,B,A,A,27
492,B,A,A,C,B,B,C,B,A,28
493,C,A,B,B,B,B,C,A,B,32
494,C,A,B,B,A,B,A,A,A,22
495,C,A,B,C,A,C,A,A,A,27
496,B,A,A,B,A,B,A,A,A,26
497,C,A,B,C,B,C,C,A,A,33
498,B,A,A,B,A,B,B,A,A,22
499,C,A,A,B,C,C,B,A,B,30
